id,brand,series,model,year_start,year_end,type,deck_length_ft,deck_width_in,overall_length_ft,material,axle_count,axle_rating_lb,gvwr_lb,curb_weight_lb,payload_lb,tw_empty_lb,tw_loaded_pct_min,tw_loaded_pct_max,coupler_type,coupler_size_in,brakes,suspension,tire_size,bolt_pattern,ramp_style,floor_material,electrical_connector,std_features,options,compat_parts_keys,notes,estimate_method,source_url,source_date,data_quality
aluma-82xx-8218h-18ft-2ax-7000gvwr,aluma,82xx,8218H,2019,,car_hauler,18.0,82,,aluminum,2,3500,7000,1350,5650,130,0.1,0.15,bumper,2.0,electric,torsion,ST205/75R15,5x4.5,ramp_ends,aluminum_plank,7-blade,rub_rails|stake_pockets|fenders,winch_plate|spare_mount,axle.dexter.3.5k|brake.kit.10in,Popular aluminum car hauler; payload depends on options.,payload=gvwr-curb; tw=10-15% rule,https://example.com/aluma/8218H,2025-10-24,sample
big_tex-35-35sa-14-14ft-1ax-2995gvwr,big_tex,35,35SA-14,2018,,utility,14.0,77,,steel,1,3500,2995,1200,1795,90,0.1,0.15,bumper,2.0,none,leaf,ST205/75D15,5x4.5,fold_gate,treated_wood,4-flat,angle_frame|top_rail|id_led,brake_axle|spare,axle.dexter.3.5k|hub.5x4.5,"Often spec’d under 3,000 GVWR for no-brake rules (state dependent).",payload=gvwr-curb; tw=10-15% rule,https://example.com/bigtex/35sa,2025-10-24,sample
pj-u7-u7-14x83-14ft-1ax-2995gvwr,pj,u7,U7-14x83,2017,,utility,14.0,83,,steel,1,3500,2995,1350,1645,95,0.1,0.15,bumper,2.0,none,leaf,ST205/75R15,5x5,fold_gate,treated_wood,4-flat,removable_gate|sealed_wiring,brake_axle|spare|wider_jack,axle.dexter.3.5k|hub.5x5,Wide deck utility; verify bolt pattern by year.,payload=gvwr-curb; tw=10-15% rule,https://example.com/pj/u7,2025-10-24,sample
load_trail-gh-gh14-24gn-24ft-2ax-14000gvwr,load_trail,gh,GH14-24GN,2020,,gooseneck,24.0,102,,steel,2,7000,14000,5200,8800,450,0.1,0.2,gooseneck,,electric,leaf,ST235/80R16,8x6.5,slide_in,treated_wood,7-blade,pierced_frame|knife_edge|chain_trays,hydraulic_jack|mega_ramps,axle.dexter.7k|brake.kit.12in,14k gooseneck equipment trailer sample.,payload=gvwr-curb; tw=10-20% (gooseneck),https://example.com/loadtrail/gh14,2025-10-24,sample
sure_trac-st8-st8218ch-18ft-2ax-7000gvwr,sure_trac,st8,ST8218CH,2019,,car_hauler,18.0,82,,steel,2,3500,7000,1950,5050,180,0.1,0.15,bumper,2.0,electric,leaf,ST205/75R15,5x4.5,ramp_ends,treated_wood,7-blade,removable_fenders|stake_pockets,dovetail|winch_plate,axle.dexter.3.5k|brake.kit.10in,Steel car hauler with ramps.,payload=gvwr-curb; tw=10-15% rule,https://example.com/suretrac/st8218ch,2025-10-24,sample
aluma-mc-mc10-10ft-1ax-2000gvwr,aluma,mc,MC10,2016,,motorcycle,10.0,63,,aluminum,1,2000,2000,425,1575,40,0.08,0.12,bumper,2.0,none,torsion,ST175/80R13,5x4.5,none,aluminum_plank,4-flat,wheel_chock|tie_downs,spare|toolbox,axle.dexter.2k|hub.5x4.5,Lightweight single-rail moto trailer.,payload=gvwr-curb; tw=8-12% light trailers,https://example.com/aluma/mc10,2025-10-24,sample
big_tex-14tl-14tl-20-20ft-2ax-14000gvwr,big_tex,14tl,14TL-20,2021,,tilt,20.0,83,,steel,2,7000,14000,3580,10420,380,0.1,0.15,bumper,2.5,electric,leaf,ST235/80R16,8x6.5,tilt,treated_wood,7-blade,hydraulic_cushion|rubrail|stake_pockets,winch_plate|mega_toolbox,axle.dexter.7k|brake.kit.12in,Tilt equipment trailer sample.,payload=gvwr-curb; tw=10-15% rule,https://example.com/bigtex/14tl,2025-10-24,sample
pj-d5-d5-10x60-10ft-1ax-4995gvwr,pj,d5,D5-10x60,2018,,dump,10.0,60,,steel,1,5200,4995,1750,3245,160,0.1,0.15,bumper,2.0,electric,leaf,ST225/75R15,6x5.5,none,steel_deck,7-blade,single_cyl_dump|tarp_kit,ramp_kit|spreader_gate,axle.dexter.5.2k|brake.kit.12in,Light-duty dump sample; confirm exact GVWR by market.,payload=gvwr-curb; tw=10-15% rule,https://example.com/pj/d5,2025-10-24,sample
load_trail-ue-ue-18x83-18ft-2ax-7000gvwr,load_trail,ue,UE-18x83,2022,,utility,18.0,83,,steel,2,3500,7000,1850,5150,170,0.1,0.15,bumper,2.0,electric,leaf,ST205/75R15,5x5,fold_gate,treated_wood,7-blade,wrap_tongue|rubrail|led_lighting,bi_fold_gate|spare,axle.dexter.3.5k|hub.5x5,Long wide utility sample.,payload=gvwr-curb; tw=10-15% rule,https://example.com/loadtrail/ue,2025-10-24,sample
sure_trac-std-stwml-8.5x20-20ft-2ax-9990gvwr,sure_trac,std,STWML-8.5x20,2023,,enclosed,20.0,102,,steel,2,5200,9990,3200,6790,300,0.1,0.15,bumper,2.5,electric,leaf,ST225/75R15,6x5.5,ramp_door,treated_wood,7-blade,tube_frame|v_nose|rv_door,height84in|stabilizer_jacks,axle.dexter.5.2k|brake.kit.12in,8.5x20 enclosed sample (weights vary by height/option).,payload=gvwr-curb; tw=10-15% rule,https://example.com/suretrac/enclosed,2025-10-24,sample
